District,x,y
Sylhet,215,158
Sunamganj,137,155
Netrokona,57,151
Mymensingh,7,123
Sherpur,-36,177
Jamalpur,-73,153
Kurigram,-94,260
Gaibandha,-115,200
Rangpur,-154,253
Lalmonirhat,-150,298
Nilphamari,-195,301
Panchagarh,-238,334
Thakurgaon,-275,299
Dinajpur,-220,250
Joypurhat,-172,177
Bogura,-137,140
Naogaon,-226,155
Chapainawabganj,-290,122
Rajshahi,-236,92
Natore,-173,80
Sirajganj,-109,83
Tangail,-51,83
Gazipur,13,42
Narsingdi,58,27
Kishoreganj,82,79
Habiganj,146,76
Brahmanbaria,101,21
Cumilla,94,-39
Feni,149,-107
Chattogram,202,-172
Khagrachari,217,-80
Rangamati,266,-129
Bandarban,281,-266
Cox's Bazar,228,-285
Noakhali,112,-131
Lakshmipur,62,-112
Chandpur,56,-67
Munshiganj,4,-38
Narayanganj,33,-9
Dhaka,-5,3
Manikganj,-57,8
Rajbari,-110,-6
Faridpur,-72,-39
Gopalganj,-67,-94
Madaripur,-29,-77
Barisal,-4,-126
Pirojpur,-47,-151
Jhalokathi,-22,-160
Patuakhali,10,-191
Barguna,-47,-219
Bhola,75,-176
Khulna,-131,-156
Satkhira,-173,-157
Jashore,-160,-89
Narail,-108,-90
Magura,-129,-45
Jhenaidah,-168,-40
Chuadanga,-205,-23
Meherpur,-231,4
Kushtia,-184,15
Pabna,-133,38
Shariatpur,9,-70
Moulvibazar,208,94
